protein_annotation	regex_label	manual_label	note
PTS EIIA type-2 domain-containing protein	proper	proper	
Kelch-like family member 2	proper	proper	
Short-chain dehydrogenase/reductase (EC 1.1.1.1)	proper	proper	
Hemolysin or related protein	proper	proper	
Phosphatase / protein serine/threonine kinase	proper	proper	
Putative phage repressor protein	proper	proper	
CCA tRNA nucleotidyltransferase 1, mitochondrial (EC 2.7.7.72) (Mitochondrial tRNA nucleotidyl transferase, CCA-adding) (mt CCA-adding enzyme) (mt tRNA CCA-diphosphorylase) (mt tRNA CCA-pyrophosphorylase) (mt tRNA adenylyltransferase)	proper	proper	
Glycoside hydrolase family 92 protein	proper	proper	
Protein BCS-1, isoform a	proper	proper	
HflC protein	proper	proper	
Putative phiSLT protein	proper	uninformative	
IncW plasmid conjugative relaxase protein TrwC (TraI homolog)	proper	proper	
V-type ATP synthase alpha chain (EC 7.1.2.2) (V-ATPase subunit A) [Cleaved into: Tvo AtpA intein (Tvo VMA intein)]	proper	proper	
DnaB domain-containing protein (EC 3.6.4.12)	proper	proper	
Spastin	proper	proper	
ATP-dependent RNA helicase, putative	proper	proper	
Capsid Gp10A/Gp10B-like domain-containing protein	proper	proper	
Lantibiotic protection ABC superfamily ATP binding cassette transporter	proper	proper	
Toxic cation resistance protein	proper	proper	
Intron-encoded double motif LAGLIDADG homing endonuclease	proper	proper	
6-phosphofructo-2-kinase/fructose-2, 6-bisphosphatase-like	proper	proper	
Insertion element protein (Transposase)	proper	proper	
Cytidine deaminase (EC 3.5.4.5) (Cytidine aminohydrolase)	proper	proper	
SSS sodium solute transporter superfamily protein	proper	proper	
Group I intronic ORF	proper	uninformative	
DNA methylase adenine-specific domain-containing protein	proper	proper	
S-adenosyl-L-methionine-dependent methyltransferase	proper	proper	
Secreted effector protein PipB2	proper	proper	
Plastid division protein ftsZ	proper	proper	
Metal-dependent phosphohydrolase, HD subdomain	proper	proper	
Clp protease ClpP	proper	proper	
Phage uncharacterized protein (Putative large terminase), C-terminal domain	proper	proper	
CRISPR-associated protein	proper	proper	
Putative mitochondrial chaperone BCS1-B-like protein	proper	proper	
DNA packaging protein gp2 (Terminase large subunit)	proper	proper	
Family 43 glycosylhydrolase	proper	proper	
Peptide chain release factor PrfB1, chloroplastic isoform X2	proper	proper	
Ribonucleotide reductase subunit M1	proper	proper	
TSCPD domain-containing protein	proper	proper	
Heme-binding protein	proper	proper	
VRR-NUC domain protein (VRR-NUC domain-containing protein)	proper	proper	
Phage late control D protein	proper	proper	
Prolyl 4-hydroxylase alpha subunit Fe(2+) 2OG dioxygenase domain-containing protein	proper	proper	
Alcohol dehydrogenase catalytic domain-containing protein	proper	proper	
DNA polymerase DpoZ	proper	proper	
Uncharacterized protein (DUF927 family)	low informative	low	
Prolyl 4-hydroxylase alpha subunit homolog, 2OG-Fe(II) oxygenase family	proper	proper	
GMP reductase (EC 1.7.1.7)	proper	proper	
Chaperonin 60 subunit alpha 2, chloroplastic-like	proper	proper	
Ectodermal neural cortex 6	proper	proper	
N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28) (Autolysin) (Cell wall hydrolase)	proper	proper	
Phage protein U	proper	uninformative	
Kelch domain-containing protein 10	proper	proper	
Uncharacterized protein DUF115	low informative	low	
Phage tail assembly protein K	proper	proper	
SKP1 component POZ domain-containing protein	proper	proper	
26S proteasome regulatory subunit 6B (26S proteasome AAA-ATPase subunit RPT3) (MB67-interacting protein) (MIP224) (Proteasome 26S subunit ATPase 4) (Tat-binding protein 7) (TBP-7)	proper	proper	
inorganic diphosphatase (EC 3.6.1.1)	proper	proper	
General transcription factor IIH subunit 2 (Basic transcription factor 2 44 kDa subunit) (BTF2 p44) (General transcription factor IIH polypeptide 2) (TFIIH basal transcription factor complex p44 subunit)	proper	proper	
Heat shock protein 75 kDa, mitochondrial (TNF receptor-associated protein 1) (Trap1 protein)	proper	proper	
Phosphate acetyltransferase	proper	proper	
Murein DD-endopeptidase MepS/Murein LD-carboxypeptidase (EC 3.4.-.-)	proper	proper	
Phage-related terminase	proper	proper	
Gifsy-2 prophage probable tail fiber protein	proper	proper	
Ganglioside-induced differentiation-associated protein 2	proper	proper	
Geissoschizine synthase (CrGS) (EC 1.3.1.36) (Alcohol dehydrogenase 14) (CrADH14)	proper	proper	
Surface protein A2H UspA2H	proper	proper	
Peptidase M15 family protein	proper	proper	
RNA-directed DNA polymerase (Reverse transcriptase), Polynucleotidyl transferase, Ribonuclease H fold-like protein	proper	proper	
Glycosyl hydrolase, family 31/fibronectin type III domain protein	proper	proper	
Toxic anion resistance family protein	proper	proper	
Prophage pi2 protein 39	proper	uninformative	
PHENYLALANYL-TRNA SYNTHETASE, BETA CHAIN (PHENYLALANINE--TRNA LIGASE BETA CHAIN) (PHERS) (EC 6.1.1.20)	proper	proper	
Tail fiber component K	proper	proper	
Restriction system protein	proper	proper	
Emp24/gp25L/p24 family protein	proper	proper	
Stomatin homolog PH1511 (Prokaryotic stomatin) (P-stomatin)	proper	proper	
DUF4979 domain-containing protein	low informative	low	
Glycosidases	proper	proper	
Kelch-like protein 7 isoform X1 (Kelch-like protein 7 isoform X2)	proper	proper	
DNA packaging protein gp2	proper	proper	
Fur family transcriptional regulator	proper	proper	
DNA (Cytosine-5)-methyltransferase 3A	proper	proper	
Glycosyl hydrolase protein	proper	proper	
Putative stomatin-like protein	proper	proper	
SLAM family member 5-like isoform X2	proper	proper	
Uncharacterized protein LOC109486806 isoform X2	proper	uninformative	
Sensory transduction regulator	proper	proper	
Cyclophilin TM1367-like domain-containing protein	proper	proper	
Phage tail assembly protein, NLP/P60	proper	proper	
Putative restriction endonuclease domain-containing protein	proper	proper	
Prohead core protein serine protease	proper	proper	
Exodeoxyribonuclease V alpha subunit (EC 3.1.11.5)	proper	proper	
Phosphoesterase RecJ-like protein	proper	proper	
KTSC domain	proper	proper	
Putative ComE operon protein 2	proper	proper	
Carcinoembryonic antigen-related cell adhesion molecule 6	proper	proper	
KilA-N domain	proper	proper	
DUF2334 domain-containing protein	low informative	low	
Alpha-ketoglutarate-dependent non-heme iron oxygenase EasH	proper	proper	
Putative mitochondrial dna helicase twinkle	proper	proper	
Zinc-binding oxidoreductase, putative (EC 1.6.5.5)	proper	proper	
Mannose-1-phosphate guanylyltransferase rfbM (EC 2.7.7.13)	proper	proper	
Sodium, potassium, lithium and rubidium/H(+) antiporter	proper	proper	
Related to human BCS1 protein	proper	proper	
Putative monooxygenase	proper	proper	
Putative phosphatase, C-terminal domain of histone macroH2A1 like protein	proper	proper	
KlcA	proper	proper	
Ribosomal RNA small subunit methyltransferase A (EC 2.1.1.182) (16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase) (16S rRNA dimethyladenosine transferase) (16S rRNA dimethylase) (High level kasugamycin resistance protein KsgA) (Kasugamycin dimethyltransferase) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase)	proper	proper	
60s ribosomal protein l27a	proper	proper	
Mor transcription activator-like protein	proper	proper	
Icc family phosphohydrolase phage protein	proper	proper	
Uncharacterized protein rth14	uninformative	uninformative	
Mitochondrial ATP-dependent helicase irc3 (EC 3.6.4.-)	proper	proper	
MSHA biogenesis protein MshQ	proper	proper	
RNA polymerase sigma-70 region 4 domain-containing protein	proper	proper	
Ribonucleoside-diphosphate reductase subunit M2 B isoform X3	proper	proper	
Transposase for insertion sequence element IS1001	proper	proper	
Glycoside hydrolase family 19 protein	proper	proper	
p2 phage tail completion protein R (GpR)	proper	proper	
Type I restriction enzyme EcoAI R protein (EC 3.1.21.3)	proper	proper	
General secretion pathway protein A	proper	proper	
Phage integrase, Bbp50	proper	proper	
AGAP002604-PA	proper	proper	
DNA-binding domain	proper	proper	
Bacterial regulatory helix-turn-helix protein, lysR family	proper	proper	
NINE protein	proper	uninformative	
Regulator of chromosome condensation, RCC1	proper	proper	
CDP-glucose 4,6-dehydratase (EC 4.2.1.45)	proper	proper	
Complete genome, strain K279a	proper	uninformative	
Putative anti-sigma regulatory factor, serine/threonine protein kinase	proper	proper	
KLHL23 isoform 5	proper	proper	
Ribosomal protein 3/homing endonuclease-like protein fusion protein	proper	proper	
Variable large protein	proper	uninformative	
Gp62 protein	uninformative	uninformative	
Nitrite reductase [NAD(P)H] large subunit (EC 1.7.1.4)	proper	proper	
M48 family peptidase	proper	proper	
Cysteine dioxygenase type 1 (EC 1.13.11.20) (Cysteine dioxygenase type I) (CDO) (CDO-I)	proper	proper	
Alginate biosynthesis regulator	proper	proper	
Transglycosylase-associated protein	proper	proper	
Beta-Casp domain-containing protein	proper	proper	
HAD superfamily hydrolase (TIGR01509 family)/HAD superfamily hydrolase (TIGR01549 family)	proper	proper	
Bacteriophage lambda integrase	proper	proper	
PF11300 domain protein	proper	low	
Viral protein	proper	uninformative	
Ribosomal-protein-alanine N-acetyltransferase	proper	proper	
XerC protein	proper	proper	
Tudor domain protein	proper	proper	
"Probable bifunctional SAT/APS kinase [Includes: Sulfate adenylyltransferase (EC 2.7.7.4) (ATP-sulfurylase) (Sulfate adenylate transferase) (SAT); Adenylyl-sulfate kinase (EC 2.7.1.25) (APS kinase) (ATP adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenosine-5'-phosphosulfate kinase)]"	proper	proper	
Peptidase S74 domain-containing protein	proper	proper	
DNA-binding transcriptional repressor PuuR	proper	proper	
ATP-dependent RNA helicase RhlB	proper	proper	
Mu-like prophage Flumu protein gp36	proper	uninformative	
Uncharacterized phage-associated protein	uninformative	uninformative	
N-alpha-acetyltransferase 10 (EC 2.3.1.255) (N-terminal acetyltransferase complex ARD1 subunit homolog A) (hARD1) (NatA catalytic subunit Naa10)	proper	proper	
Divergent DnaB-like ATPase domain-containing protein	proper	proper	
Rhodanese domain-containing protein	proper	proper	
Phosphoesterase RecJ domain protein	proper	proper	
Phage-related exported protein	proper	low	
Zinc finger/thioredoxin putative domain-containing protein	proper	proper	
GpW/GP25 family protein	proper	proper	
Superoxide dismutase [Mn] (EC 1.15.1.1) (MnSOD)	proper	proper	
Phage DNA binding protein	proper	proper	
Putative Methyltransferase, UbiE/COQ5 family protein	proper	proper	
Endochitinase CHI (EC 3.2.1.14)	proper	proper	
Cobalamin biosynthesis protein CobT	proper	proper	
Methylmalonyl-CoA decarboxylase (MMCD) (EC 4.1.1.-) (Transcarboxylase)	proper	proper	
Protein BeeE	proper	proper	
Uncharacterized protein LOC109721486	uninformative	uninformative	
ZEITLUPE	proper	proper	
Tubulin/FtsZ family, GTPase domain protein	proper	proper	
Domain protein	uninformative	uninformative	
Leucine-zipper-like transcriptional regulator 1, putative	proper	proper	
Symmetrical bis(5'-nucleosyl)-tetraphosphatase (EC 3.6.1.41)	proper	proper	
Head morphoproteinis protein SPP1 gp7	proper	proper	
Exodeoxyribonuclease (EC 3.1.11.-)	proper	proper	
Uncharacterized protein LOC113492616 isoform X4	proper	uninformative	
Glycoside hydrolase family 76 protein	proper	proper	
Allophanate hydrolase (EC 3.5.1.4)	proper	proper	
Cupin (Cupin domain-containing protein)	proper	proper	
P-selectin-like	proper	proper	
Calcineurin-like phosphoesterase superfamily protein	proper	proper	
Swf/snf family helicase-like protein	proper	proper	
DUF4242 domain-containing protein	low informative	low	
Pyruvate kinase (EC 2.7.1.40)	proper	proper	
Deoxycytidylate deaminase isoform A	proper	proper	
Putative DNA mismatch repair protein MLH1	proper	proper	
Uncharacterized protein K02A2.6-like	proper	uninformative	
Amino acid permease	proper	proper	
Phage late control protein D	proper	proper	
Capsid decoration protein	proper	proper	
Ribosomal L9, C-terminal domain protein	proper	proper	
Probable phage-related protein	uninformative	uninformative	
Nitrite reductase (NAD(P)H) (EC 1.7.1.4)	proper	proper	
Williams-Beuren syndrome chromosomal region 22 protein	proper	proper	
GTA prohead protease	proper	proper	
Clavaldehyde dehydrogenase	proper	proper	
SCCmec staphylococcal cassette region, isolate CMFT535	proper	proper	
WD40 domain protein	proper	low	
Putative low-complexity protein	proper	low	
Flagellar rod assembly protein/muramidase FlgJ (EC 3.2.1.-)	proper	proper	
Putative phosphatase, C-terminal domain of histone macro H2A1 like protein	proper	proper	
Scaffolding-like protein	proper	proper	
Putative exonuclease	proper	proper	
Putative lipoprotein (EC 3.4.-.-)	proper	proper	
Putative endopeptidase LytF	proper	proper	
Probable cell wall hydrolase (EC 3.5.1.28)	proper	proper	
Protein gp16	uninformative	uninformative	
Superfamily II DNA and RNA helicase	proper	proper	
NB-ARC domain-containing protein	proper	proper	
Kelch domain-containing 8a	proper	proper	
LEPR-XLL domain-containing protein	proper	low	
PWWP domain-containing protein	proper	proper	
Putative phage-related exported protein	low informative	low	
Protein CBR-PSTK-1	proper	proper	
Alpha-N-acetylglucosaminidase	proper	proper	
ICEBs1 integrase	proper	proper	
Putative glycosyltransferase TagX (Teichoic acid biosynthesis protein X)	proper	proper	
Bacteriophage-related transcriptional repressor	proper	proper	
Aminopeptidase N (EC 3.4.11.2)	proper	proper	
E3 ubiquitin-protein ligase HERC2 (EC 2.3.2.26) (HECT domain and RCC1-like domain-containing protein 2) (HECT-type E3 ubiquitin transferase HERC2)	proper	proper	
Glycoside hydrolase family 2 immunoglobulin-like beta-sandwich domain-containing protein	proper	proper	
Conserved surface-anchored protein Band 7 family	proper	proper	
All3320 protein	proper	uninformative	
Putative tail sheath protein	proper	proper	
CAZy families CBM50|GH19 protein	proper	proper	
Phage major capsid protein	proper	proper	
Choline dehydrogenase 7	proper	proper	
Ser/Thr protein phosphatase family protein	proper	proper	
DNA-directed RNA polymerase subunit beta (EC 2.7.7.6) (PEP)	proper	proper	
16S rRNA (Guanine(966)-N(2))-methyltransferase RsmD (EC 2.1.1.171)	proper	proper	
Mu-like prophage gp28 protein	proper	proper	
26S protease regulatory subunit 6A	proper	proper	
Glycosyl transferase, group 1 family protein	proper	proper	
TonB family protein	proper	proper	
"Gag-Pol polyprotein (Pr160Gag-Pol) [Cleaved into: Matrix protein p17 (MA); Capsid protein p24 (CA); Spacer peptide 1 (SP1) (p2); Nucleocapsid protein p7 (NC); Transframe peptide (TF); p6-pol (p6*); Protease (EC 3.4.23.16) (PR) (Retropepsin); Reverse transcriptase/ribonuclease H (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.13) (Exoribonuclease H) (EC 3.1.13.2) (p66 RT); p51 RT; p15; Integrase (IN) (EC 2.7.7.-) (EC 3.1.-.-)]"	proper	proper	
Uncharacterized protein LOC115875674	uninformative	uninformative	
DNA polymerase III subunit epsilon (EC 2.7.7.7)	proper	proper	
Homeobox-leucine zipper protein HDG11-like	proper	proper	
Lambda phage tail tape-measure protein	proper	proper	
Type III restriction protein res subunit	proper	proper	
Putative sulfoxide reductase catalytic subunit	proper	proper	
Putative RepA leader peptide Tap	proper	proper	
DNA-binding transcriptional activator of the SARP family	proper	proper	
Cerebellin 4 precursor	proper	proper	
Zinc-containing alcohol dehydrogenase superfamily protein	proper	proper	
Mu-like prophage FluMu protein gp27	proper	uninformative	
5'-3' exonuclease (EC 3.1.11.-)	proper	proper	
Protease modulator HflC	proper	proper	
Lysophospholipase L1 and related esterases family	proper	proper	
DCTD isoform 8	proper	proper	
Putative ribonucleoside-diphosphate reductase small chain	proper	proper	
Tail sheath	proper	proper	
DNA recombinase-like protein	proper	proper	
RNA binding zinc finger protein, RanBP2-type	proper	proper	
GPW/gp25 family protein (Gene 25-like lysozyme)	proper	proper	
